inputs,C result,python result,C run time,python run time
input2, , ,0.005849599838256836,0.5404891967773438
input3,F, ,0.060082435607910156,0.6079802513122559
input4, , ,0.005487918853759766,0.5494346618652344
input5, , ,0.005450248718261719,0.5459003448486328
input6, , ,0.005388498306274414,0.5517578125
input7, , ,0.00565338134765625,0.5506622791290283
input8,F,F,0.059369564056396484,0.5900275707244873
input9, , ,0.005551576614379883,0.5513131618499756
input10, , ,0.005776405334472656,0.545222282409668
input11, , ,0.0056514739990234375,0.5635471343994141
input12,F,F,0.059973716735839844,0.5694160461425781
input13, , ,0.005667448043823242,0.536506175994873
input14,F,F,0.059845924377441406,0.5889208316802979
input15, , ,0.005613803863525391,0.5527331829071045
input16, ,F,0.005419731140136719,0.5758659839630127
input17, ,F,0.005631446838378906,0.5658149719238281
input18, ,F,0.005940914154052734,0.5491793155670166
input19, ,F,0.005355358123779297,0.5680875778198242
input20, ,F,0.005654811859130859,0.5702893733978271
input21, ,F,0.0056416988372802734,0.5674114227294922
input22, ,F,0.0057370662689208984,0.5650629997253418
input23, ,F,0.005485057830810547,0.5671613216400146
input24, ,F,0.0058438777923583984,0.5591480731964111
input25, ,F,0.005388736724853516,0.5730674266815186
input26,F,F,0.060067176818847656,0.5688328742980957
input27, ,F,0.006447792053222656,0.5665221214294434
input28, ,F,0.005769014358520508,0.5679166316986084
input29, ,F,0.005927085876464844,0.5865862369537354
input30, ,F,0.005646944046020508,0.5725917816162109
input31, ,F,0.005991697311401367,0.5632519721984863
input32, ,F,0.006342411041259766,0.5875086784362793
input33, ,F,0.00599980354309082,0.566248893737793
input34, ,F,0.005979299545288086,0.5758137702941895
input35, ,F,0.006063938140869141,0.5763998031616211
input36, ,F,0.006206512451171875,0.570662260055542
input37, ,F,0.005879402160644531,0.5781915187835693
input38, ,F,0.006513118743896484,0.5673725605010986
input39, ,F,0.005973339080810547,0.5578815937042236
input40, ,F,0.006315469741821289,0.5819072723388672
input41,F,F,0.059618473052978516,0.593334436416626
input42, ,F,0.006033658981323242,0.56032395362854
input43, ,F,0.00600433349609375,0.5685760974884033
input44, ,F,0.0064923763275146484,0.5681357383728027
input45, ,F,0.006132364273071289,0.5657167434692383
input46, ,F,0.006236076354980469,0.6015102863311768
input47, ,F,0.006791591644287109,0.579864501953125
input48, ,F,0.006594419479370117,0.5677473545074463
input49, ,F,0.0065538883209228516,0.5617752075195312
input50, ,F,0.006706714630126953,0.5678372383117676
