inputs,C result,python result,C run time,python run time
input2, , ,0.00687861442565918,0.5527713298797607
input3,F,F,0.0645453929901123,0.5938692092895508
input4, , ,0.005811214447021484,0.5590012073516846
input5, , ,0.005565166473388672,0.5300426483154297
input6, , ,0.0053479671478271484,0.5517644882202148
input7, , ,0.005590200424194336,0.5648999214172363
input8,F,F,0.06075477600097656,0.5771703720092773
input9, , ,0.005964756011962891,0.5519523620605469
input10, , ,0.0055310726165771484,0.5484151840209961
input11, , ,0.0054433345794677734,0.5546293258666992
input12,F,F,0.05966687202453613,0.5680861473083496
input13, , ,0.005556344985961914,0.5553543567657471
input14,F,F,0.060848236083984375,0.596287727355957
input15, ,F,0.005568027496337891,0.5668292045593262
input16, ,F,0.0059010982513427734,0.5678567886352539
input17, ,F,0.005760908126831055,0.5678277015686035
input18, ,F,0.00588226318359375,0.5675084590911865
input19, ,F,0.005949258804321289,0.5640807151794434
input20, ,F,0.006269931793212891,0.5686664581298828
input21, ,F,0.0056438446044921875,0.5711765289306641
input22, ,F,0.005506753921508789,0.5696220397949219
input23, ,F,0.005762577056884766,0.5628437995910645
input24, ,F,0.0059468746185302734,0.5583705902099609
input25, ,F,0.005499362945556641,0.5691416263580322
input26,F,F,0.06029105186462402,0.5646712779998779
input27, ,F,0.006858348846435547,0.5670771598815918
input28, ,F,0.0058422088623046875,0.5633163452148438
input29, ,F,0.006081342697143555,0.5655436515808105
input30, ,F,0.006128787994384766,0.566734790802002
input31, ,F,0.005912303924560547,0.5603928565979004
input32, ,F,0.0059168338775634766,0.5825271606445312
input33, ,F,0.0059125423431396484,0.5667386054992676
input34, ,F,0.006601095199584961,0.5614945888519287
input35, ,F,0.010784626007080078,1.0727732181549072
input36, ,F,0.0062029361724853516,0.5821406841278076
input37, ,F,0.006811857223510742,0.5628526210784912
input38, ,F,0.006474733352661133,0.5809237957000732
input39, ,F,0.006100177764892578,0.5646533966064453
input40, ,F,0.0062103271484375,0.5659337043762207
input41,F,F,0.060511112213134766,0.5662927627563477
input42, ,F,0.006095409393310547,0.56280517578125
input43, ,F,0.0061490535736083984,0.581270694732666
input44, ,F,0.006399393081665039,0.5823612213134766
input45, ,F,0.0067081451416015625,0.5654709339141846
input46, ,F,0.0070476531982421875,0.5478370189666748
input47, ,F,0.007101297378540039,0.5703482627868652
input48, ,F,0.006749391555786133,0.5657613277435303
input49, ,F,0.006926774978637695,0.5735392570495605
input50, ,F,0.0070421695709228516,0.5955460071563721
