inputs,C result,python result,C run time,python run time
input2, , ,0.005567312240600586,0.5519084930419922
input3,F, ,0.05987191200256348,0.5634665489196777
input4, , ,0.00552678108215332,0.5533771514892578
input5, , ,0.0058498382568359375,0.5506381988525391
input6, , ,0.005231380462646484,0.5493113994598389
input7, , ,0.005560159683227539,0.5451827049255371
input8,F,F,0.06422638893127441,0.60418701171875
input9, , ,0.005762577056884766,0.5605967044830322
input10, , ,0.005856037139892578,0.5505032539367676
input11, , ,0.005540370941162109,0.551149845123291
input12,F,F,0.06028413772583008,0.5668525695800781
input13, , ,0.005322456359863281,0.5491814613342285
input14,F,F,0.05993819236755371,0.5797970294952393
input15, , ,0.005792856216430664,0.5489528179168701
input16, ,F,0.005871772766113281,0.5799589157104492
input17, ,F,0.005880832672119141,0.5664727687835693
input18, ,F,0.006136178970336914,0.5660953521728516
input19, ,F,0.005804300308227539,0.5670936107635498
input20, ,F,0.006002902984619141,0.567579984664917
input21, ,F,0.0056688785552978516,0.569915771484375
input22, ,F,0.006083488464355469,0.568946361541748
input23, ,F,0.005951642990112305,0.563014030456543
input24, ,F,0.0060503482818603516,0.5667481422424316
input25, ,F,0.006066560745239258,0.5681908130645752
input26,F,F,0.06171751022338867,0.5666155815124512
input27, ,F,0.0061452388763427734,0.5488080978393555
input28, ,F,0.0063250064849853516,0.5594663619995117
input29, ,F,0.0062639713287353516,0.5670819282531738
input30, ,F,0.006746530532836914,0.5732102394104004
input31, ,F,0.0069196224212646484,0.5585322380065918
input32, ,F,0.0065460205078125,0.5665979385375977
input33, ,F,0.006949186325073242,0.5536530017852783
input34, ,F,0.0067751407623291016,0.5803935527801514
input35, ,F,0.006838560104370117,0.5752551555633545
input36, ,F,0.0067901611328125,0.5768053531646729
input37, ,F,0.0075151920318603516,0.5648777484893799
input38, ,F,0.007111787796020508,0.5581622123718262
input39, ,F,0.007420539855957031,0.5470290184020996
input40, ,F,0.007638216018676758,0.5663747787475586
input41,F,F,0.059708356857299805,0.579472541809082
input42, ,F,0.0075838565826416016,0.5753977298736572
input43, ,F,0.007846832275390625,0.5692424774169922
input44, ,F,0.008722543716430664,0.5693569183349609
input45, ,F,0.008373260498046875,0.5454809665679932
input46, ,F,0.008602619171142578,0.5535423755645752
input47, ,F,0.00897526741027832,0.5692713260650635
input48, ,F,0.008986234664916992,0.5740835666656494
input49, ,F,0.008682012557983398,0.5766525268554688
input50, ,F,0.00938105583190918,0.5834202766418457
